address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1517 Alcatraz Ave,0,0,37.848271,-122.277108,0,1300,1.906,4.025,5,0
1517 Francisco St,0,0,37.874295,-122.281675,0,2298,1.223,3.975,3,0
1517 Walnut St,0,0,37.879817,-122.267799,0,2867,0.7,4.025,3,0
1518 Bonita Ave,0,0,37.878837,-122.272993,0,4498,0.873,4.1,6,0
1518 Grant St,0,0,37.878511,-122.276392,0,1800,1.025,4.15,6,0
1518 Julia St,0,0,37.854031,-122.278258,0,1483,1.615,4.05,5,1
1519 Hearst Ave,0,0,37.872542,-122.281191,0,1702,1.188,4,3,0
1519 Walnut St,0,0,37.879716,-122.267791,0,2500,0.695,4.1,5,0
152 Panoramic Way,0,0,37.86826,-122.246359,0,2436,0.764,3.95,0,0
1521 Ashby Ave,0,0,37.853664,-122.278182,0,1550,1.632,4.05,5,1
1521 Josephine St,0,0,37.878728,-122.274592,0,950,0.945,4.05,4,0
