,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
185,185,1333 Shattuck Ave,0,0,37.882722,-122.269418,0,1292,0.912,4.175,0,0,1.11246236299
186,186,1334 Walnut St,0,0,37.882631,-122.26881,0,1850,0.888,4.175,0,0,1.07216499967
187,187,1335 Shattuck Ave,0,0,37.882719,-122.269293,0,1292,0.908,4.0,5,0,1.10546213331
188,188,1337 Shattuck Ave,0,0,37.882691,-122.269452,0,1292,0.911,4.0,5,0,1.11159908741
189,189,1337 University Ave,0,0,37.870232,-122.285524,0,1423,1.43,3.95,5,2,1.70462415759
190,190,1338 Carlotta Ave,0,0,37.881215,-122.279514,0,3149,1.263,4.125,4,0,1.63422655529
191,191,1338 Shattuck Ave,0,0,37.882461,-122.269968,0,1819,0.916,4.075,4,2,1.12079758625
192,192,1339 Francisco St,0,0,37.873648,-122.286793,0,2010,1.498,3.875,3,1,1.83760584016
193,193,1339 Rose St,0,0,37.877453,-122.287627,0,1650,1.583,4.1,5,0,2.01890435069
194,194,1347 Hearst Ave,0,0,37.871614,-122.286035,0,1850,1.453,4.0,3,1,1.74866198569
195,195,1350 Acton St,0,0,37.881615,-122.285521,0,2233,1.568,4.175,0,2,2.07145723807
196,196,1354 Scenic Ave,0,0,37.883039,-122.263491,0,1900,0.785,4.05,4,0,0.92581069982
197,197,1356 Scenic Ave,0,0,37.883154,-122.263369,0,1900,0.791,4.025,4,0,0.936562931211
198,198,1359 Ashby Ave,0,0,37.853371,-122.281585,0,1604,1.77,4.125,7,1,2.38450112477
199,199,1360 Hopkins St,0,0,37.879105,-122.286249,0,1690,1.542,4.05,3,0,1.98278660008
200,200,1360 Scenic Ave,0,0,37.883066,-122.263342,0,1900,0.785,4.05,3,0,0.92651782749
201,201,1371 Shattuck Ave,0,0,37.882555,-122.269287,0,2204,0.899,4.0,3,0,1.0907515091
202,202,1380 Hopkins St,0,0,37.879503,-122.285525,0,1720,1.513,4.15,5,0,1.94749123185
203,203,1387 Berkeley Way,0,0,37.870926,-122.284787,0,1827,1.387,3.925,1,1,1.63778295295
204,204,139 Forest Ln,0,0,37.895679,-122.2614,0,1117,1.629,4.05,2,0,2.31678814503
205,205,1393 Berkeley Way,0,0,37.871051,-122.284701,0,1728,1.381,4.1,1,2,1.6302193564
206,206,1401 Hawthorne Terrace,0,0,37.882306,-122.261862,0,1150,0.716,4.05,5,0,0.829608607993
